identity_id,identity_dir,num_images_found,num_images_success,num_images_failed,num_templates_added,status,reason
104100,D:\Liang\Pcode\Face Recognition System\identities\104100,,,,15,skipped,already_exists_in_gallery
104101,D:\Liang\Pcode\Face Recognition System\identities\104101,,,,15,skipped,already_exists_in_gallery
104102,D:\Liang\Pcode\Face Recognition System\identities\104102,,,,15,skipped,already_exists_in_gallery
104103,D:\Liang\Pcode\Face Recognition System\identities\104103,,,,15,skipped,already_exists_in_gallery
104104,D:\Liang\Pcode\Face Recognition System\identities\104104,,,,15,skipped,already_exists_in_gallery
104105,D:\Liang\Pcode\Face Recognition System\identities\104105,,,,15,skipped,already_exists_in_gallery
104106,D:\Liang\Pcode\Face Recognition System\identities\104106,,,,15,skipped,already_exists_in_gallery
104107,D:\Liang\Pcode\Face Recognition System\identities\104107,,,,15,skipped,already_exists_in_gallery
105006,D:\Liang\Pcode\Face Recognition System\identities\105006,,,,15,skipped,already_exists_in_gallery
105015,D:\Liang\Pcode\Face Recognition System\identities\105015,,,,15,skipped,already_exists_in_gallery
105017,D:\Liang\Pcode\Face Recognition System\identities\105017,,,,15,skipped,already_exists_in_gallery
105020,D:\Liang\Pcode\Face Recognition System\identities\105020,,,,15,skipped,already_exists_in_gallery
105021,D:\Liang\Pcode\Face Recognition System\identities\105021,,,,15,skipped,already_exists_in_gallery
105029,D:\Liang\Pcode\Face Recognition System\identities\105029,,,,15,skipped,already_exists_in_gallery
105030,D:\Liang\Pcode\Face Recognition System\identities\105030,,,,15,skipped,already_exists_in_gallery
105031,D:\Liang\Pcode\Face Recognition System\identities\105031,,,,15,skipped,already_exists_in_gallery
105032,D:\Liang\Pcode\Face Recognition System\identities\105032,,,,15,skipped,already_exists_in_gallery
105033,D:\Liang\Pcode\Face Recognition System\identities\105033,,,,15,skipped,already_exists_in_gallery
105034,D:\Liang\Pcode\Face Recognition System\identities\105034,,,,15,skipped,already_exists_in_gallery
105035,D:\Liang\Pcode\Face Recognition System\identities\105035,,,,15,skipped,already_exists_in_gallery
105038,D:\Liang\Pcode\Face Recognition System\identities\105038,,,,15,skipped,already_exists_in_gallery
105042,D:\Liang\Pcode\Face Recognition System\identities\105042,,,,15,skipped,already_exists_in_gallery
105043,D:\Liang\Pcode\Face Recognition System\identities\105043,,,,15,skipped,already_exists_in_gallery
105044,D:\Liang\Pcode\Face Recognition System\identities\105044,,,,15,skipped,already_exists_in_gallery
105046,D:\Liang\Pcode\Face Recognition System\identities\105046,,,,15,skipped,already_exists_in_gallery
105047,D:\Liang\Pcode\Face Recognition System\identities\105047,,,,15,skipped,already_exists_in_gallery
105048,D:\Liang\Pcode\Face Recognition System\identities\105048,,,,15,skipped,already_exists_in_gallery
